hopetown_14_15,midrand_ew_5,pvlib_hopetown_0_15,pvlib_hopetown_0_15_0.9
0.035761753,0.231405052,0,0
0.035761753,0.231405052,0,0
12.1645404,13.0507583,0,0
12.1645404,13.0507583,6.589158627,5.930242764
35.66400827,31.01375491,17.73532771,15.96179494
35.66400827,31.01375491,28.01300765,25.21170689
57.82802332,48.01545109,39.84519208,35.86067287
57.82802332,48.01545109,49.76707629,44.79036866
73.67373915,61.34489284,59.63166487,53.66849838
73.67373915,61.34489284,67.62354144,60.8611873
85.95757185,70.723195,74.89807757,67.40826981
85.95757185,70.723195,80.75470998,72.67923898
86.33172451,75.67268947,85.78167769,77.20350992
86.33172451,75.67268947,89.47833588,80.53050229
86.33002983,76.4712917,92.22217676,82.99995908
86.33002983,76.4712917,93.08369105,83.77532195
86.33293113,72.04640674,92.87153565,83.58438209
