Tariff,Tariff Category,Transmission Zone,Supply Voltage,Code,Matrix Code,High-Peak [c/kWh],High-Standard [c/kWh],High-Off Peak [c/kWh],Low-Peak [c/kWh],Low-Standard [c/kWh],Low-Off Peak [c/kWh],High Demand [c/kWh],Low Demand [c/kWh],High Demand [R/kVA/m],Low Demand [R/kVA/m],Transmission Network Charges [R/kVA/m],Network Access Charges [R/kVA/m]
Ruraflex,Local Authority,[301 - 600km],< 500V,Ruraflex_Local Authority_[301 - 600km]_< 500V,Ru11Y,738.118392,223.64188,121.372196,240.762896,165.733216,105.164004,0,0,0,0,0,41.745
Ruraflex,Local Authority,[301 - 600km],≥ 500V & < 66kV,Ruraflex_Local Authority_[301 - 600km]_≥ 500V & < 66kV,Ru12Y,730.849196,221.337556,120.236732,238.425176,164.052284,104.0842,0,0,0,0,0,38.34974
Ruraflex,Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Ruraflex_Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,Ru13Y,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[301 - 600km],> 132kV,Ruraflex_Local Authority_[301 - 600km]_> 132kV,Ru14Y,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[601 - 900km],< 500V,Ruraflex_Local Authority_[601 - 900km]_< 500V,Ru21Y,745.521172,225.81262,122.641244,243.145144,167.325092,106.210412,0,0,0,0,0,41.96764
Ruraflex,Local Authority,[601 - 900km],≥ 500V & < 66kV,Ruraflex_Local Authority_[601 - 900km]_≥ 500V & < 66kV,Ru22Y,738.084996,223.597352,121.372196,240.762896,165.733216,105.164004,0,0,0,0,0,38.550116
Ruraflex,Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Ruraflex_Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,Ru23Y,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[601 - 900km],> 132kV,Ruraflex_Local Authority_[601 - 900km]_> 132kV,Ru24Y,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[> 900km],< 500V,Ruraflex_Local Authority_[> 900km]_< 500V,Ru31Y,752.979612,228.161472,123.78784,245.549656,169.061684,107.25682,0,0,0,0,0,42.090092
Ruraflex,Local Authority,[> 900km],≥ 500V & < 66kV,Ruraflex_Local Authority_[> 900km]_≥ 500V & < 66kV,Ru32Y,745.51004,225.81262,122.641244,243.145144,167.325092,106.210412,0,0,0,0,0,38.57238
